take_id,filename,sequence,cue_first,cue_last,word_count,timing_flag,text_sha256
T063,T063.wav,S6,103,104,11,NORMAL,8bb58a46030e5a45576a9814009a445bd0d0736f83f7a20e61e99467177cb7ee
T064,T064.wav,S6,105,110,45,NORMAL,60a37df2a6b6da9451c3b87c75896cc46c632af732eabecd0b80f3e381440268
T065,T065.wav,S6,111,111,8,TIGHT_REVIEW,01d25898f19a4d18aee93dec575db11bcfcfacca3d0ddc5a487e02ecc295100b
T066,T066.wav,S6,112,113,14,NORMAL,3e3466c541bd91c28b835c516b75ce0174afe161e7a8c8a7de66be6086952902
T067,T067.wav,S6,114,115,14,NORMAL,76e9a3316e5af7868dd34b15b99be8d0db90a5630b29b0a82e04249628433361
T068,T068.wav,S7,116,116,8,NORMAL,bc550b6fda07cc9a13f2f102567eba845a3138152eac1638c52a9a525587471a
T069,T069.wav,S7,117,118,14,NORMAL,929ddb16351ad670bfe556b39a1cb916ae085058f389b2ea115e2defa159855d
T070,T070.wav,S7,119,121,19,NORMAL,390ba2684f343121db234e078b518bff6bb2e2b85e0112de5ab4b655614eb8ad
T071,T071.wav,S7,122,124,20,NORMAL,0216b8a60ad9c5fca73e24fa5a6ce35a0f2d05bce6d81545465b1ef0c6ff4f7b
T072,T072.wav,S7,125,127,10,NORMAL,e48ed10f9d167d772a71b44147e1ba804b14cd76de86d4f950c97e0b03c10982
T073,T073.wav,S7,128,129,13,NORMAL,3ab6b0dc41be39c00ad6c1b12c8fbfd97de3e0ab624cd352db20dd021b828143
T074,T074.wav,S7,130,130,10,NORMAL,dbc6885c40976bea99e18070c13a5ab5c7006aeb4c6524a3e001d515b32f867a
T075,T075.wav,S7,131,131,10,NORMAL,9a2fd0b733be41f2298c0546637bac25d2fa211af4576b8d427c237f1cbaa73e
T076,T076.wav,S7,132,133,15,NORMAL,2058e52abf4665ec6d88d9644fde212ff5bd9595cbb048153e28599f9ffb267d
T077,T077.wav,S7,134,135,13,NORMAL,82da20a91823e42996dbb405be6b2fbd049554e7dcc48e92ef48020d1c569d22
T078,T078.wav,S7,136,136,8,NORMAL,3c44f0c5dcc0f77dd23247c513874b77409a9d8f049d1e45af14025c32f2d101
T079,T079.wav,S7,137,137,12,NORMAL,84ccc357433b9029f3d2112957909360bb834cc4f214a6231eda6469f4ed9900
T080,T080.wav,S7,138,138,8,NORMAL,d23103c14d5bc0cfcae7769ab3729c0f09a053eff537fe1f0c402640956651db
T081,T081.wav,S8,139,139,8,NORMAL,c072d6e00facbeae7a46fb1c2a3a2e2ee94a4cdc47761a1047731c01f729e88b
T082,T082.wav,S8,140,142,25,NORMAL,0fb6de91da74a3c5f6970165814a5986d7ef27993fabc1a30e1adbf792976f39
T083,T083.wav,S8,143,145,20,NORMAL,8180c5c8b88a3d292015cfabb63117a69f14731139ccdd5a3c578d46e5c2b511
T084,T084.wav,S8,146,147,13,NORMAL,125e5635a29e70a057cbf1b2feefee15bd88594a2d0447568a2cb995851513bf
T085,T085.wav,S8,148,151,38,NORMAL,44f345a959cd0ab36933c4ea1da10677cb1e1d6d346ef15fa0d1341762d049c3
T086,T086.wav,S8,152,152,10,NORMAL,a9e0a67c4bb8a31078e4b66edbbb2918ed89128d95cec393b2e0f87dc895a1c1
T087,T087.wav,S8,153,153,10,NORMAL,1774d943e2b01b7a051ccef64d110e9e875ed82e74d12745a579cc03d39882f8
T088,T088.wav,S8,154,155,14,NORMAL,9ebaccb7a76f61d0d256bb65af48ac91e4b45317b794f86cf59d8305359d8e04
T089,T089.wav,S8,156,157,18,NORMAL,265c3d062b7f917a9e96ecffdb6ded9d3b5a362043b4c2d5298954fb1928b6ec
T090,T090.wav,S8,158,159,15,NORMAL,405c65da33de24a77964531c4abe3362730a7475d433f21c169872ff7c9c2129
T091,T091.wav,S8,160,161,12,NORMAL,693492e8e883ec7206ec57d4213f0159488e3838642e271164bc791e98470e9e
