take_id,start_sample,end_sample,window_samples,take_samples,silence_pad_samples,take_sha256,time_stretch
T048,15225360,15448464,223104,218304,4800,534c21b8d9a7f460a0db80e7240761fa119126bd795871d0271ed33703831f0c,NONE
T049,15448464,15767808,319344,263662,55682,21b4468d5f4072f2e806e12b4ea877f65c88ea3363562c16eee707018e46ab57,NONE
T050,15771648,15994752,223104,218304,4800,be5165636277cc02a582149ed8cfac7ce96f4e86fe03cd7be3b9369a66bbf571,NONE
T051,16054320,16236816,182496,177696,4800,f0a494884e16b62ced7581da3c96ba6d4156f88960b2d1974c6d108ae539e147,NONE
T052,16236816,16584912,348096,324507,23589,2a540c773e3a0bcaa1463a64b352ecefba6ad19195c04be8b1f7b95723053dec,NONE
T053,16620864,16843968,223104,218304,4800,ea7481276212b5aa35ff6f2355790b0ac858ed23e3c917b54a30a007e15de75e,NONE
T054,16903488,17207712,304224,299424,4800,bfe560eb0f959ceca6eb3b0cc300b95ac940cc155fbe714167e411049cb028c3,NONE
T055,17267280,17470080,202800,198000,4800,d03e0d3d5d40ccd0e4e1df723372eb5b1df4402edf963ccf48e45a92683c4fde,NONE
T056,17546880,17810544,263664,258864,4800,064d3cf23a02e41d5a11855d8e09b494d3b07c94a2ed546cebf9fae1f35ed779,NONE
T057,17844480,17986512,142032,137232,4800,892a5ebd76f4f88cf7329de1ddc9f7470b4288f0cc3434c9165fc83aeb6447af,NONE
T058,17986512,18229104,242592,237792,4800,c8b9d6609f94ab072ce32401a5d8ee1dfec117529dba5055f1d649f0772947e0,NONE
T059,18229104,18406656,177552,172752,4800,17f0006e0402c5124e3d0a97de943cb034c529ec53962bba46152563c6173d5c,NONE
T060,18406656,18610800,204144,182535,21609,6fece857679d41ae41b1f16adee94a55b8f0361ea5b3d769ff69cb69569b0d89,NONE
T061,18610800,18820896,210096,205296,4800,6345d1f38389df0e7538a16a9bd4daa563f0e977a5f2bcb42fc64a234814e236,NONE
T062,18820896,19214400,393504,304225,89279,6c58b1b2524a0b9c981ccf43ecd9df1bceb371675a911f85f8ccc2517e3003c5,NONE
T063,19214400,19448160,233760,223099,10661,45c92d7f18d0d807b6d61152786774e72f386c73dff16c74ccd8a9b1d06184dd,NONE
T064,19448160,20241072,792912,788112,4800,9b4e96fd00b31cb863a0574e99e4e455f9b8c6ee577c84d9a381cea1e120e3ad,NONE
T065,20241072,20377200,136128,131328,4800,dc650846eca60bd7ca2e37721e42f3607fd5cea1bf40b0db02792e3f725b2acd,NONE
T066,20442768,20729808,287040,282240,4800,08fa562b031b4c55a8659b2757978297c46d986ab703e808107fea0bd70ae942,NONE
T067,20786160,21070080,283920,279120,4800,c829aef5f0e0969ef965c7070c83616e97081908540ad784770705ffa299976f,NONE
T068,21146880,21309120,162240,157440,4800,c0e537b439ebd908b6ca94ff6a5e378ce7f04c8432b7a4c7bc0c6257f1a6dbfa,NONE
T069,21349920,21657072,307152,283944,23208,78b94fa33555eeaba3dc30d106f1a951df812dd49dceaaa15434e0e140a7f536,NONE
T070,21657072,22081296,424224,385352,38872,2e91e7a1be1b06f20b26e955fe1bc0ecae797eab0c700cc2f0936fc402986354,NONE
T071,22081296,22520352,439056,405634,33422,a01ac7495d8c35936e28ea4638aa4d503bb372014a74f24da62c4c65c4ff3a8e,NONE
T072,22520352,22749936,229584,202817,26767,9eea3c8e571dce15026535f1603b94a33ca4d71c2a061b448308d86225c385f3,NONE
T073,22790688,23054352,263664,258864,4800,064d3cf23a02e41d5a11855d8e09b494d3b07c94a2ed546cebf9fae1f35ed779,NONE
T074,23095152,23276304,181152,176352,4800,72d364c00a7a5c0b74e7394742711fde1320366df468a26aa17cdd5bd9b1742b,NONE
T075,23276304,23469360,193056,188256,4800,c4f911f116f795806c967fd7063eeeb4a16eb6e9257246cb8011edf0f68fe389,NONE
T076,23469360,23804976,335616,304225,31391,1874ccf71689c80f62875e09b21dc80efa61f9673f58a911bd12802d29451e6c,NONE
T077,23845776,24094560,248784,243984,4800,2163de21c4357013641618677c22300450b5a96ab019ae0f8fcf48f44adde943,NONE
T078,24094560,24252240,157680,152880,4800,05036e2bded1cb40ae0b8949e147bcc95ac4b4fc0aa6c661805db95c6586c705,NONE
T079,24252240,24515040,262800,243380,19420,250bf49308350e9b02869f99cddef84c1552fab1ba9625e5742f5eb0f495ade3,NONE
T080,24555840,24718080,162240,157440,4800,1080cb7d862e3cf8e9be3f1d50494aae999a3f2ed8b0320751e054ee50b54a93,NONE
T081,24794880,24944880,150000,145200,4800,451fdd4f111b1f37f748423c9ff66cbb3ce390d809a814b7d690aa672d996557,NONE
T082,24944880,25478400,533520,507042,26478,4a17a02a9289faefad13601e2896742809095dc9a99175634179240fc54b739e,NONE
T083,25506432,25903680,397248,392448,4800,e8ca38b9bb6dd273c79cd67dc9bf48dc2cbef1fb838d96c82782b8ed180e4108,NONE
T084,25931712,26181984,250272,245472,4800,6f8c5ea68c0cadff3300977f038524c8ade6f5c05a9380d205e6c9b4e75fb74f,NONE
T085,26181984,26972736,790752,770704,20048,10da291fb3581bb0de4d4811e8b81fa53739052e587cb45042a6d368106601b4,NONE
T086,27000816,27206400,205584,200784,4800,6fa4e5e699db16ceac5e41b1af8a06b6e6dfda0a79d39ce981f7212635d0d0cc,NONE
T087,27206400,27398064,191664,186864,4800,7fa2672607c969cb4479ca81a979d634fde621f5054ab7193f58919ba78f8bee,NONE
T088,27426096,27713808,287712,282912,4800,d933b584c33ef8fa2ce32964b3fba45318f7768bd41bf45074bd54f8a966f8f0,NONE
T089,27713808,28061712,347904,343104,4800,37be7082f0aacb32a935ab066b149404c59d790cf64f769bb452de34cc124bfe,NONE
T090,28089744,28387680,297936,293136,4800,41b9112d5420d5c2267057be6fc7cfe24376d3a6809eb0ef4ced323f8c67459e,NONE
T091,28415712,28654080,238368,233568,4800,427dad76f7fc3083f2c3a0c3f553e5498cbca008b78953780e01409facd48542,NONE
