take_id,start_sample,end_sample,window_samples,take_samples,silence_pad_samples,take_sha256,time_stretch
T048,15225360,15448464,223104,165600,57504,bdd62e625c0645fcb053fc777672af94a5ae6eeb0f3c9152a80757de44396aeb,NONE
T049,15448464,15767808,319344,311040,8304,a67956d2255c38cd930e6abd9792270a742894d8f7a018be57bd527bf61ab841,NONE
T050,15771648,15994752,223104,152640,70464,5137766ef0adf196f17c05fd0ee1e8a8f6763efabdfb9914edf475edda7c71d2,NONE
T051,16054320,16236816,182496,132960,49536,b74e5d4659cb47bf4f028fd92cb77380d40db70957d628eee40808e96049eb51,NONE
T052,16236816,16584912,348096,339360,8736,ca45c25c532606df060890d7b90a849ee04fd265e88f834f03b6ea6bbb689e71,NONE
T053,16610208,16843968,233760,228960,4800,98db11299a0abc9560b0c7935571661db2afeb30af91919632ea992cf06257ef,NONE
T054,16865568,17233728,368160,363360,4800,61414ce6f5a8d55f63dadf41c20c8c5504f4e95902d5abd2bd17ecbb1c5c91a3,NONE
T055,17267280,17470080,202800,174240,28560,95ec3ce124073624d7d23854e0bd8f55d112893a4e3d71957f6b38be72541cc9,NONE
T056,17546880,17810544,263664,226560,37104,9757615dd50261cc7addd027587efeb8666e7f0088bf73c2453dbfda2935ccc0,NONE
T057,17838672,17986512,147840,143040,4800,2e94eecef642028fd9d03561d10ba45b9cfdaf4a5205ae621e790b276294deee,NONE
T058,17986512,18229104,242592,234240,8352,579fda0c947aa86a75baafdbaa73a4dc044350f17dce64199e14d59e5b2a1104,NONE
T059,18229104,18406656,177552,169440,8112,0b66bfffeb16c654da1a7baddc0fe750ffc8865172c7f25ec85aa2f2af6fbdcc,NONE
T060,18406656,18610800,204144,187680,16464,b106754eac8644fee1d64a4e455fe8947b0d89c7f74dd7b76dd76ddfe6c1d2d5,NONE
T061,18610800,18822960,212160,207360,4800,80f57636a2ad95f3a8c0e2ffe9e878f58a66ed1816048e420b4545e800444598,NONE
T062,18822960,19214400,391440,345120,46320,227c958d67d32d31e9a66cc14c8729acfc7597f8ba8012e7aa39d8ca6dbc886e,NONE
T063,19214400,19448160,233760,228000,5760,094dfdad1c362089fa6ebab3e956717e6a681165d27d1f863e8562ed48d15281,NONE
T064,19448160,20241072,792912,722400,70512,449e7bf5636d05d520a89ac60b791b9f2a4ca31c87f64b0ffbe5271efd7029c4,NONE
T065,20241072,20377200,136128,129600,6528,ad3af094b6782fba7dbe25f9cdffb12ed31cef3c0186a761fb50928228ad4dbf,NONE
T066,20442768,20729808,287040,250080,36960,351a5a6cdaaf1e28b85c8f0b4473e21a6dc7f2d3b5cf7e6b5e3801331087e467,NONE
T067,20786160,21070080,283920,215520,68400,be0f76e99009cb84584d8d0dba1b226b31af49d73e7e8707c82aff39fbdb942b,NONE
T068,21146880,21309120,162240,127200,35040,f125fcb5eb5f86b168bd17beee496fd58bc457fad3cf5f6b618c26cddf183482,NONE
T069,21349920,21657072,307152,283680,23472,8c67ee4bfc29ae21cc2dacc889fb74a4cb21458f288b8da5b88039c4200c2fba,NONE
T070,21657072,22081296,424224,389760,34464,1988830aa88845466887754c0f6801904e7f3a6ac3066420e1b34c635592b8bc,NONE
T071,22081296,22520352,439056,396960,42096,fffb6d3d494f2d6bddc6e4d2caa7612d78737cbb2910f960231c30b0b97ad721,NONE
T072,22520352,22749936,229584,217440,12144,a1490f4530d08f51ae9c9056ca4db2a5202622e38f67bd4e210d89dc3db7f53c,NONE
T073,22790688,23054352,263664,251520,12144,5bab0a4e76f01935a3353d48ad5b8c5a3bfc1890a338b291394bb5cc80686298,NONE
T074,23095152,23278992,183840,179040,4800,1d41aafe96d5fb4c79c827ac1daf85da82ece1e64a9ace820f98e543f67a818f,NONE
T075,23278992,23469360,190368,169440,20928,d2f6b409be96bab5bb08aa21458fc647c3d395c468f24926d3136d0caa8d7c0f,NONE
T076,23469360,23804976,335616,324960,10656,d9e7c985dbcaa9a0774d559d8e8a175cf30f7ac70ad56f3a083b1e22b50f8421,NONE
T077,23845776,24094560,248784,243360,5424,f55d33b97fa57e09a7b8c28bbd9ba5651cfc50b6ca693d7bd7fe904b58d25059,NONE
T078,24094560,24252240,157680,131040,26640,36efc3659b1d4901394351ff905ed71bd9a178f5be539816801b998a868aff46,NONE
T079,24252240,24515040,262800,207840,54960,c331fb2f3f9b9a56080821d6da20a104be0edbeffa4ef46a6c1d84ac16ce3437,NONE
T080,24554880,24718080,163200,158400,4800,246b0f7d3390f599a032f45ab8fe6648d9ee4094d740622eeeb064252bfe60cf,NONE
T081,24794880,24944880,150000,111840,38160,d67d2ecac5562335527c70bdf2641e8a50a109023cbc3147278f3a675bb86452,NONE
T082,24944880,25478400,533520,513600,19920,5ecb8f5c24c7c9902bd4e6d13792b2dfb9bce471270753bdaaf0acb1d48a94d4,NONE
T083,25506432,25903680,397248,386880,10368,694b48481f0ee53e3d555ff5193d0742b6633ee5c255012276e2e3b0a7131a2b,NONE
T084,25931712,26181984,250272,243840,6432,bb48a357ce351d3da061847fb1ff2c27d6047bcb7b31bd092c5bb20ebb3a9d2b,NONE
T085,26181984,26972736,790752,740160,50592,1fe7f4f916df7c4adca6e011deb30da0dfbe507906a444c5c0db1acb1489daf0,NONE
T086,27000816,27206400,205584,167520,38064,c08bb07ed59745fc654ba7d4911a893460feb1de73c190b1806e9c303ff40831,NONE
T087,27206400,27398064,191664,186240,5424,57e008e578d710fc7e42e961c7961fbdbb0b3039124d8a157b271c8804ebc2f3,NONE
T088,27426096,27716976,290880,286080,4800,c2e8133cec0ea150370d27e212a481fe90d587cdadd3f441a8387717e6a4b29e,NONE
T089,27716976,28061712,344736,321120,23616,e3deb4eb5e9ed1973913da79cd139bdd6883983ff9b418b2ed6e2467247d3056,NONE
T090,28089744,28400304,310560,305760,4800,9a6501d08dd7776c03f5df433aeabc1d9b1e6bbb044e7293e706bf4dc8b01696,NONE
T091,28415712,28654080,238368,228960,9408,4b3071e813692493dabc5b9e224ef7cf6010aa6a299d221fabea4700e6c70f91,NONE
